Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
1918,All Races,Male,36.6,2740.5
1917,All Races,Male,48.4,2427.8
1916,All Races,Male,49.6,2406.2
1915,All Races,Male,52.5,2302.6
1914,All Races,Male,52.0,2286.1
1913,All Races,Male,50.3,2351.2
1912,All Races,Male,51.5,2352.8
1911,All Races,Male,50.9,2374.5
1910,All Races,Male,48.4,2459.9
1909,All Races,Male,50.5,2385.7
1908,All Races,Male,49.5,2433.4
1907,All Races,Male,45.6,2660.3
1906,All Races,Male,46.9,2553.6
1905,All Races,Male,47.3,2565.5
1904,All Races,Male,46.2,2652.9
1903,All Races,Male,49.1,2513.5
1902,All Races,Male,49.8,2447.9
1901,All Races,Male,47.6,2600.5
1900,All Races,Male,46.3,2630.8
